구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
매도패턴,358570.KS,지아이이노베이션,2026-03-23,,13020.0,13970.0,,-32.18,0.0,0.0,Triple Top,,,,7.3,
매도패턴,102710.KS,이엔에프테크놀로지,2026-03-23,,51100.0,48300.0,,25.21,0.0,0.0,Triple Top,,,,-5.48,
매도패턴,290650.KS,엘앤씨바이오,2026-03-19,,75800.0,68700.0,,148.21,0.0,0.0,Rect Top,,,,-9.37,
손절하락,015750.KS,성우하이텍,2026-03-11,2026-05-08,11900.0,8620.0,,52.77,0.0,0.0,"Inv H&S (손절 25% 이탈, -27.6%)",,8971.65853983544,16084.596035874241,-27.56,
매도전환,329180.KS,HD현대중공업,2026-01-16,,617821.9375,498500.0,2026-03-27,,,,,,,,-19.31,
매도전환,064350.KS,현대로템,2026-03-10,,207500.0,184200.0,2026-03-27,,,,,,,,-11.23,
매도전환,068760.KS,셀트리온제약,2026-02-04,,70000.0,58500.0,2026-03-27,,,,,,,,-16.43,
매도전환,00104K.KS,CJ4우(전환),2026-01-30,,177800.0,181000.0,2026-03-27,,,,,,,,1.8,
매도전환,033500.KS,동성화인텍,2026-02-27,,29450.0,23300.0,2026-03-27,,,,,,,,-20.88,
매도전환,105630.KS,한세실업,2026-02-11,,12960.0,12200.0,2026-03-27,,,,,,,,-5.86,
매도전환,207940.KS,삼성바이오로직스,2026-01-20,,1920000.0,1601000.0,2026-03-20,,,,,,,,-16.61,
익절,012630.KS,HDC,2026-02-09,2026-02-10,19840.0,27800.0,2026-03-30,,,,,,,,40.12,
익절,020000.KS,한섬,2026-02-04,2026-02-05,18980.0,24600.0,2026-03-30,,,,,,,,29.61,
익절,138490.KS,코오롱ENP,2026-02-05,2026-02-06,10560.0,15000.0,2026-03-30,,,,,,,,42.05,
익절,011930.KS,신성이엔지,2026-02-03,2026-02-04,1839.0,2580.0,2026-03-30,,,,,,,,40.29,
익절,120110.KS,코오롱인더,2026-02-02,2026-02-03,53276.21580497383,77900.0,2026-03-27,,,,,,,,46.22,
손절,263750.KS,펄어비스,2026-02-02,2026-02-03,57800.0,42300.0,2026-03-23,,,,,,,,-26.82,
익절,042520.KS,한스바이오메드,2026-02-06,2026-02-09,40300.0,55400.0,2026-03-19,,,,,,,,37.47,
익절,338840.KS,와이바이오로직스,2026-03-04,2026-03-05,22350.0,33550.0,2026-03-18,,,,,,,,50.11,
익절,032500.KS,케이엠더블유,2026-02-02,2026-02-03,18800.0,30000.0,2026-03-17,,,,,,,,59.57,
익절,024850.KS,HLB이노베이션,2026-01-19,2026-01-20,2370.0,4010.0,2026-03-17,,,,,,,,69.2,
익절,050890.KS,쏠리드,2026-02-05,2026-02-06,8220.0,12580.0,2026-03-12,,,,,,,,53.04,
손절,034230.KS,파라다이스,2026-02-10,2026-02-11,21200.0,16405.0,2026-03-10,,,,,,,,-22.62,
손절,180640.KS,한진칼,2026-02-25,2026-02-26,168900.0,120900.0,2026-03-05,,,,,,,,-28.42,
손절,009830.KS,한화솔루션,2026-02-19,2026-02-20,56500.0,44250.0,2026-03-05,,,,,,,,-21.68,
손절,004020.KS,현대제철,2026-02-27,2026-03-03,48300.0,36250.0,2026-03-05,,,,,,,,-24.95,
손절,018880.KS,한온시스템,2026-02-20,2026-02-23,5040.0,4035.0,2026-03-05,,,,,,,,-19.94,
손절,139480.KS,이마트,2026-02-12,2026-02-13,118500.0,93300.0,2026-03-05,,,,,,,,-21.27,
손절,000240.KS,한국앤컴퍼니,2026-02-20,2026-02-23,34900.0,25700.0,2026-03-05,,,,,,,,-26.36,
손절,257720.KS,실리콘투,2026-02-02,2026-02-03,52400.0,38875.0,2026-03-05,,,,,,,,-25.81,
손절,002790.KS,아모레퍼시픽홀딩스,2026-02-12,2026-02-13,34550.0,27225.0,2026-03-05,,,,,,,,-21.2,
손절,281740.KS,레이크머티리얼즈,2026-01-28,2026-01-29,26200.0,20600.0,2026-03-05,,,,,,,,-21.37,
손절,293490.KS,카카오게임즈,2026-02-04,2026-02-05,16380.0,12890.0,2026-03-05,,,,,,,,-21.31,
손절,298050.KS,HS효성첨단소재,2026-01-28,2026-01-29,264500.0,209250.0,2026-03-05,,,,,,,,-20.89,
손절,075580.KS,세진중공업,2026-01-16,2026-01-19,20300.0,16305.0,2026-03-05,,,,,,,,-19.68,
손절,161580.KS,필옵틱스,2026-02-02,2026-02-03,55100.0,45225.0,2026-03-05,,,,,,,,-17.92,
