구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
stop_loss,006280.KS,녹십자,2026-02-03,2026-02-04,162900.0,149600.0,2026-03-05,,,,,,,,-8.16,
stop_loss,001800.KS,오리온홀딩스,2026-02-11,2026-02-12,24100.0,22800.0,2026-03-05,,,,,,,,-5.39,
stop_loss,007310.KS,오뚜기,2026-02-24,2026-02-25,410000.0,374750.0,2026-03-05,,,,,,,,-8.6,
stop_loss,082640.KS,동양생명,2026-02-11,2026-02-12,7400.0,7100.0,2026-03-05,,,,,,,,-4.05,
stop_loss,004000.KS,롯데정밀화학,2026-02-11,2026-02-12,48200.0,44500.0,2026-03-05,,,,,,,,-7.68,
stop_loss,003090.KS,대웅,2026-02-10,2026-02-11,26100.0,23300.0,2026-03-05,,,,,,,,-10.73,
stop_loss,185750.KS,종근당,2026-02-12,2026-02-13,94000.0,84850.0,2026-03-05,,,,,,,,-9.73,
stop_loss,005300.KS,롯데칠성,2026-02-11,2026-02-12,137700.0,131250.0,2026-03-05,,,,,,,,-4.68,
stop_loss,192080.KS,더블유게임즈,2026-03-03,2026-03-04,51800.0,49125.0,2026-03-05,,,,,,,,-5.16,
stop_loss,034020.KS,두산에너빌리티,2026-02-25,2026-02-26,104100.0,86150.0,2026-03-04,,,,,,,,-17.24,
stop_loss,068270.KS,셀트리온,2026-02-19,2026-02-20,242500.0,207200.0,2026-03-04,,,,,,,,-14.56,
stop_loss,004020.KS,현대제철,2026-02-27,2026-03-03,48300.0,36575.0,2026-03-04,,,,,,,,-24.28,
stop_loss,004990.KS,롯데지주,2026-02-25,2026-02-26,37100.0,30425.0,2026-03-04,,,,,,,,-17.99,
stop_loss,000120.KS,CJ대한통운,2026-02-12,2026-02-13,139600.0,117500.0,2026-03-04,,,,,,,,-15.83,
stop_loss,008770.KS,호텔신라,2026-02-12,2026-02-13,49700.0,42525.0,2026-03-04,,,,,,,,-14.44,
stop_loss,069960.KS,현대백화점,2026-02-12,2026-02-13,110300.0,95700.0,2026-03-04,,,,,,,,-13.24,
stop_loss,294870.KS,HDC현대산업개발,2026-02-20,2026-02-23,24300.0,21300.0,2026-03-04,,,,,,,,-12.35,
stop_loss,280360.KS,롯데웰푸드,2026-02-24,2026-02-25,132700.0,116600.0,2026-03-04,,,,,,,,-12.13,
stop_loss,006650.KS,대한유화,2026-02-24,2026-02-25,188900.0,146500.0,2026-03-04,,,,,,,,-22.45,
stop_loss,066575.KS,LG전자우,2026-02-23,2026-02-24,62900.0,53100.0,2026-03-04,,,,,,,,-15.58,
stop_loss,138040.KS,메리츠금융지주,2026-02-23,2026-02-24,138000.0,124500.0,2026-03-03,,,,,,,,-9.78,
stop_loss,180640.KS,한진칼,2026-02-25,2026-02-26,168900.0,146100.0,2026-03-03,,,,,,,,-13.5,
stop_loss,097950.KS,CJ제일제당,2026-02-11,2026-02-12,229917.99440753795,210250.0,2026-03-03,,,,,,,,-8.55,
stop_loss,036460.KS,한국가스공사,2026-02-20,2026-02-23,45450.0,42575.0,2026-03-03,,,,,,,,-6.33,
stop_loss,000240.KS,한국앤컴퍼니,2026-02-20,2026-02-23,34900.0,29925.0,2026-03-03,,,,,,,,-14.26,
stop_loss,002790.KS,아모레퍼시픽홀딩스,2026-02-12,2026-02-13,34550.0,29650.0,2026-03-03,,,,,,,,-14.18,
stop_loss,004490.KS,세방전지,2026-02-20,2026-02-23,74500.0,66400.0,2026-03-03,,,,,,,,-10.87,
stop_loss,029780.KS,삼성카드,2026-02-20,2026-02-23,67500.0,62950.0,2026-02-27,,,,,,,,-6.74,
stop_loss,175330.KS,JB금융지주,2026-02-23,2026-02-24,35489.98327690337,32600.0,2026-02-26,,,,,,,,-8.14,
stop_loss,034230.KS,파라다이스,2026-02-10,2026-02-11,21200.0,19575.0,2026-02-26,,,,,,,,-7.67,
stop_loss,009830.KS,한화솔루션,2026-02-19,2026-02-20,56500.0,51162.0,2026-02-24,,,,,,,,-9.45,
take_profit,002380.KS,KCC,2026-01-21,2026-01-22,428915.5429819617,597838.0,2026-02-24,,,,,,,,39.38,
stop_loss,018880.KS,한온시스템,2026-02-20,2026-02-23,5040.0,4622.0,2026-02-24,,,,,,,,-8.28,
stop_loss,001450.KS,현대해상,2026-02-20,2026-02-23,43000.0,36150.0,2026-02-24,,,,,,,,-15.93,
take_profit,071050.KS,한국금융지주,2026-01-30,2026-02-02,204692.82340934683,278247.0,2026-02-23,,,,,,,,35.93,
stop_loss,139480.KS,이마트,2026-02-12,2026-02-13,118500.0,112650.0,2026-02-23,,,,,,,,-4.94,
take_profit,030610.KS,교보증권,2026-01-27,2026-01-28,11770.0,16400.0,2026-02-23,,,,,,,,39.34,
take_profit,057050.KS,현대홈쇼핑,2026-02-05,2026-02-06,58600.0,80200.0,2026-02-20,,,,,,,,36.86,
take_profit,017670.KS,SK텔레콤,2026-01-26,2026-01-27,63300.0,82350.0,2026-02-19,,,,,,,,30.09,
take_profit,088350.KS,한화생명,2026-01-30,2026-02-02,3490.0,5100.0,2026-02-19,,,,,,,,46.13,
take_profit,003540.KS,대신증권,2026-02-05,2026-02-06,29600.0,44575.0,2026-02-19,,,,,,,,50.59,
stop_loss,195870.KS,해성디에스,2026-02-02,2026-02-03,64400.0,59850.0,2026-02-19,,,,,,,,-7.07,
stop_loss,008930.KS,한미사이언스,2026-02-05,2026-02-06,45200.0,41925.0,2026-02-12,,,,,,,,-7.25,
take_profit,023530.KS,롯데쇼핑,2026-01-29,2026-01-30,79400.0,115550.0,2026-02-11,,,,,,,,45.53,
take_profit,010060.KS,OCI홀딩스,2026-01-30,2026-02-02,113000.0,151600.0,2026-02-10,,,,,,,,34.16,
stop_loss,278470.KS,에이피알,2026-01-29,2026-01-30,277500.0,265750.0,2026-02-09,,,,,,,,-4.23,
stop_loss,011790.KS,SKC,2026-01-29,2026-01-30,116000.0,112400.0,2026-02-09,,,,,,,,-3.1,
stop_loss,003530.KS,한화투자증권,2026-02-04,2026-02-05,6590.0,6390.0,2026-02-09,,,,,,,,-3.03,
stop_loss,036570.KS,엔씨소프트,2026-01-20,2026-01-21,226500.0,211000.0,2026-02-06,,,,,,,,-6.84,
stop_loss,006400.KS,삼성SDI,2026-01-29,2026-01-30,390500.0,369250.0,2026-02-03,,,,,,,,-5.44,
stop_loss,005940.KS,NH투자증권,2026-01-30,2026-02-02,26950.0,26700.0,2026-02-03,,,,,,,,-0.93,
stop_loss,023590.KS,다우기술,2026-01-30,2026-02-02,51400.0,50400.0,2026-02-03,,,,,,,,-1.95,
stop_loss,003470.KS,유안타증권,2026-01-30,2026-02-02,4570.0,4440.0,2026-02-03,,,,,,,,-2.84,
stop_loss,207940.KS,삼성바이오로직스,2026-01-21,2026-01-22,1874000.0,1734000.0,2026-02-02,,,,,,,,-7.47,
stop_loss,298050.KS,HS효성첨단소재,2026-01-28,2026-01-29,264500.0,235250.0,2026-02-02,,,,,,,,-11.06,
stop_loss,086280.KS,현대글로비스,2026-01-14,2026-01-15,257500.0,251000.0,2026-01-29,,,,,,,,-2.52,
stop_loss,329180.KS,HD현대중공업,2026-01-19,2026-01-20,637687.5953588143,584547.0,2026-01-28,,,,,,,,-8.33,
stop_loss,272210.KS,한화시스템,2026-01-16,2026-01-19,93800.0,88050.0,2026-01-28,,,,,,,,-6.13,
stop_loss,075580.KS,세진중공업,2026-01-16,2026-01-19,20300.0,19380.0,2026-01-23,,,,,,,,-4.53,
stop_loss,267270.KS,HD현대건설기계,2026-01-19,2026-01-20,120331.78427245251,113359.0,2026-01-22,,,,,,,,-5.79,
보유중,006360.KS,GS건설,2026-04-03,2026-04-06,27950.0,36300.0,,,,,,,26144.0,38051.0,29.87,7
보유중,071055.KS,한국금융지주우,2026-01-23,2026-01-26,136777.49656379668,170700.0,,,,,,,127940.0,186210.0,24.8,78
보유중,055550.KS,신한지주,2026-01-27,2026-01-28,84171.10297956443,98300.0,,,,,,,78733.0,114591.0,16.79,76
보유중,086790.KS,하나금융지주,2026-01-27,2026-01-28,104158.4142602848,120000.0,,,,,,,97429.0,141802.0,15.21,76
보유중,316140.KS,우리금융지주,2026-01-29,2026-01-30,29660.51171875,34150.0,,,,,,,27744.0,40380.0,15.14,74
보유중,105560.KS,KB금융,2026-01-29,2026-01-30,136382.12022697856,156600.0,,,,,,,127570.0,185671.0,14.82,74
보유중,330590.KS,롯데리츠,2026-03-06,2026-03-09,4420.0,4825.0,,,,,,,4134.0,6017.0,9.16,36
보유중,336260.KS,두산퓨얼셀,2026-03-31,2026-04-01,34850.0,37550.0,,,,,,,32598.0,47445.0,7.75,13
보유중,138930.KS,BNK금융지주,2026-02-04,2026-02-05,17316.20749622754,18470.0,,,,,,,16197.0,23574.0,6.66,68
보유중,066970.KS,엘앤에프,2026-04-03,2026-04-06,171500.0,181700.0,,,,,,,160419.0,233481.0,5.95,8
