구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
매도패턴,096770.KS,SK이노베이션,2026-03-23,,109000.0,110000.0,,-13.04,Rect Top,,,,0.92,
매도패턴,003550.KS,LG,2026-03-23,,87900.0,86200.0,,5.21,Triple Top,,,,-1.93,
매도패턴,352820.KS,하이브,2026-03-23,,302143.4821428573,300500.0,,-2.61,H&S,,,,-0.54,
매도패턴,039490.KS,키움증권,2026-03-23,,564000.0,425000.0,,88.5,H&S,,,,-24.65,
매도패턴,000880.KS,한화,2026-03-23,,113392.85714285714,108300.0,,-0.46,H&S,,,,-4.49,
매도패턴,214370.KS,케어젠,2026-03-23,,106500.0,94400.0,,164.06,Rect Top,,,,-11.36,
매도패턴,111770.KS,영원무역,2026-03-23,,80200.0,80600.0,,29.6,Triple Top,,,,0.5,
매도패턴,068760.KS,셀트리온제약,2026-03-23,,57554.7890625,57900.0,,9.32,Triple Top,,,,0.6,
매도패턴,000155.KS,두산우,2026-03-23,,489285.7142857136,489000.0,,40.11,H&S,,,,-0.06,
매도패턴,069960.KS,현대백화점,2026-03-23,,84400.0,83300.0,,8.66,Triple Top,,,,-1.3,
매도패턴,280360.KS,롯데웰푸드,2026-03-23,,109325.0,115900.0,,0.35,H&S,,,,6.01,
매도패턴,358570.KS,지아이이노베이션,2026-03-23,,13020.0,14410.0,,-29.19,Triple Top,,,,10.68,
매도패턴,00088K.KS,한화3우B,2026-03-23,,45100.0,44350.0,,-0.34,Rect Top,,,,-1.66,
매도패턴,093320.KS,케이아이엔엑스,2026-03-23,,99400.0,101800.0,,9.55,Rect Top,,,,2.41,
매도패턴,037460.KS,삼지전자,2026-03-23,,24106.25,25600.0,,121.84,H&S,,,,6.2,
매도패턴,101730.KS,위메이드맥스,2026-03-23,,5000.0,4970.0,,-35.62,Rect Top,,,,-0.6,
매도패턴,206640.KS,바디텍메드,2026-03-23,,11340.0,11590.0,,-16.62,Triple Top,,,,2.2,
매도패턴,081660.KS,미스토홀딩스,2026-03-19,,47000.0,39900.0,,12.32,Rect Top,,,,-15.11,
매도패턴,290650.KS,엘앤씨바이오,2026-03-19,,75800.0,72600.0,,166.63,Rect Top,,,,-4.22,
매도패턴,009160.KS,SIMPAC,2026-03-19,,4800.0,4800.0,,-51.27,Triple Top,,,,0.0,
매도패턴,003350.KS,한국화장품제조,2026-03-19,,45200.0,45450.0,,-19.49,Triple Top,,,,0.55,
매도패턴,032620.KS,유비케어,2026-03-18,,4886.666666666657,4000.0,,3.36,H&S,,,,-18.14,
매도패턴,082270.KS,젬백스,2026-03-16,,38000.0,39950.0,,-35.56,Triple Top,,,,5.13,
매도전환,138040.KS,메리츠금융지주,2026-02-05,,124100.0,111400.0,2026-03-25,,,,,,-10.23,
매도전환,000810.KS,삼성화재,2026-02-09,,531000.0,455500.0,2026-03-23,,,,,,-14.22,
매도전환,068760.KS,셀트리온제약,2026-01-28,,74000.0,57100.0,2026-03-23,,,,,,-22.84,
매도전환,069960.KS,현대백화점,2026-02-03,,98000.0,83900.0,2026-03-23,,,,,,-14.39,
매도전환,066575.KS,LG전자우,2026-02-11,,56100.0,50500.0,2026-03-23,,,,,,-9.98,
매도전환,000640.KS,동아쏘시오홀딩스,2026-02-19,,111159.65625,99400.0,2026-03-23,,,,,,-10.58,
매도전환,241590.KS,화승엔터프라이즈,2026-02-04,,5380.0,4665.0,2026-03-23,,,,,,-13.29,
손절,253590.KS,네오셈,2026-03-11,2026-03-12,19730.0,15990.0,2026-03-27,,,,,,-18.96,
익절,120110.KS,코오롱인더,2026-01-26,2026-01-27,48820.02677104398,80500.0,2026-03-26,,,,,,64.89,
손절,329180.KS,HD현대중공업,2026-01-12,2026-01-13,604909.2549418604,516000.0,2026-03-24,,,,,,-14.7,
손절,068270.KS,셀트리온,2026-02-09,2026-02-10,228000.0,199600.0,2026-03-24,,,,,,-12.46,
손절,336260.KS,두산퓨얼셀,2026-03-12,2026-03-13,47800.0,38100.0,2026-03-24,,,,,,-20.29,
손절,069620.KS,대웅제약,2026-02-10,2026-02-11,178900.0,154600.0,2026-03-24,,,,,,-13.58,
손절,280360.KS,롯데웰푸드,2026-02-12,2026-02-13,129600.0,112300.0,2026-03-24,,,,,,-13.35,
손절,010690.KS,화신,2026-02-20,2026-02-23,13480.0,11470.0,2026-03-24,,,,,,-14.91,
익절,106190.KS,하이텍팜,2026-02-03,2026-02-04,12740.0,20525.0,2026-03-24,,,,,,61.11,
손절,263750.KS,펄어비스,2026-01-26,2026-01-27,50100.0,42300.0,2026-03-23,,,,,,-15.57,
익절,020000.KS,한섬,2026-01-28,2026-01-29,16750.0,24650.0,2026-03-23,,,,,,47.16,
익절,010060.KS,OCI홀딩스,2026-01-23,2026-01-26,125100.0,203000.0,2026-03-20,,,,,,62.27,
손절,005300.KS,롯데칠성,2026-02-04,2026-02-05,140600.0,121800.0,2026-03-20,,,,,,-13.37,
손절,086900.KS,메디톡스,2026-01-27,2026-01-28,132100.0,107600.0,2026-03-20,,,,,,-18.55,
손절,039840.KS,디오,2026-02-09,2026-02-10,18410.0,15720.0,2026-03-20,,,,,,-14.61,
익절,010120.KS,LS ELECTRIC,2026-01-14,2026-01-15,533864.5342205323,873000.0,2026-03-19,,,,,,63.52,
익절,003000.KS,부광약품,2026-01-16,2026-01-19,4010.0,6100.0,2026-03-19,,,,,,52.12,
익절,032500.KS,케이엠더블유,2026-01-26,2026-01-27,17000.0,29250.0,2026-03-18,,,,,,72.06,
익절,011930.KS,신성이엔지,2026-01-27,2026-01-28,1707.0,2990.0,2026-03-18,,,,,,75.16,
손절,000810.KS,삼성화재,2026-02-13,2026-02-19,552000.0,477500.0,2026-03-17,,,,,,-13.5,
손절,036460.KS,한국가스공사,2026-02-10,2026-02-11,42600.0,34450.0,2026-03-16,,,,,,-19.13,
익절,052020.KS,에스티큐브,2026-03-06,2026-03-09,10760.0,17100.0,2026-03-16,,,,,,58.92,
익절,024850.KS,HLB이노베이션,2026-01-12,2026-01-13,2175.0,3315.0,2026-03-13,,,,,,52.41,
손절,058970.KS,엠로,2026-01-27,2026-01-28,39000.0,31000.0,2026-03-13,,,,,,-20.51,
익절,073490.KS,이노와이어리스,2026-01-05,2026-01-06,25100.0,45550.0,2026-03-12,,,,,,81.47,
손절,069960.KS,현대백화점,2026-02-05,2026-02-06,102000.0,87850.0,2026-03-10,,,,,,-13.87,
손절,034230.KS,파라다이스,2026-02-03,2026-02-04,19010.0,16405.0,2026-03-10,,,,,,-13.7,
손절,051360.KS,토비스,2026-02-23,2026-02-24,16600.0,14268.0,2026-03-10,,,,,,-14.05,
손절,013890.KS,지누스,2026-02-23,2026-02-24,13060.0,11370.0,2026-03-10,,,,,,-12.94,
손절,064290.KS,인텍플러스,2026-01-23,2026-01-26,16660.0,14255.0,2026-03-10,,,,,,-14.44,
손절,001045.KS,CJ우,2026-02-02,2026-02-03,99200.0,84400.0,2026-03-10,,,,,,-14.92,
익절,058470.KS,리노공업,2026-01-23,2026-01-26,71900.0,122000.0,2026-03-06,,,,,,69.68,
손절,034020.KS,두산에너빌리티,2026-02-13,2026-02-19,100500.0,91150.0,2026-03-05,,,,,,-9.3,
손절,064350.KS,현대로템,2026-03-03,2026-03-04,260000.0,222375.0,2026-03-05,,,,,,-14.47,
손절,138040.KS,메리츠금융지주,2026-02-11,2026-02-12,131300.0,115800.0,2026-03-05,,,,,,-11.81,
손절,018260.KS,삼성에스디에스,2026-02-26,2026-02-27,190800.0,167050.0,2026-03-05,,,,,,-12.45,
손절,180640.KS,한진칼,2026-02-13,2026-02-19,136000.0,120900.0,2026-03-05,,,,,,-11.1,
손절,009830.KS,한화솔루션,2026-02-09,2026-02-10,47800.0,44250.0,2026-03-05,,,,,,-7.43,
손절,241560.KS,두산밥캣,2026-02-03,2026-02-04,63800.0,56800.0,2026-03-05,,,,,,-10.97,
손절,062040.KS,산일전기,2026-02-09,2026-02-10,159500.0,145550.0,2026-03-05,,,,,,-8.75,
손절,251270.KS,넷마블,2026-02-26,2026-02-27,54900.0,47275.0,2026-03-05,,,,,,-13.89,
손절,082740.KS,한화엔진,2026-01-12,2026-01-13,53900.0,47625.0,2026-03-05,,,,,,-11.64,
손절,018880.KS,한온시스템,2026-02-10,2026-02-11,4855.0,4035.0,2026-03-05,,,,,,-16.89,
